t_s,n,u1_pwm,u1_V,u1unsat_pwm,u1unsat_V,y1_rads,u2_ref,y2_rad,x1i,x2i,x1o,x2o
0.1375,56,205.332336425781,0.339738069814812,205.332336425781,0.339738069814812,-6.00872382960915e-08,82.1329345703125,-0.00923033617436886,0,0,0,0
0.14,57,274.9658203125,1.48496546484361,274.9658203125,1.48496546484361,-1.24909096399506e-08,109.986328125,-0.0094521502032876,0,0,0,0
0.1425,58,309.938354492188,2.21795966923616,309.938354492188,2.21795966923616,-2.59660493107106e-09,123.975341796875,-0.00961416400969028,0,0,0,0
0.145,59,325.878295898438,2.56916184629763,325.878295898438,2.56916184629763,-5.39781108699344e-10,130.351318359375,-0.0097324987873435,0,0,0,0
0.1475,60,332.341613769531,2.71251784335772,332.341613769531,2.71251784335772,-1.12209463942747e-10,132.936645507812,-0.00981893111020327,0,0,0,0
0.15,61,398.869934082031,4.11864981866674,398.869934082031,4.11864981866674,-2.33260546295133e-11,159.547973632812,-0.0100514544174075,0,0,0,0
0.1525,62,431.059875488281,4.69922743953742,431.059875488281,4.69922743953742,-4.84901008235283e-12,172.423950195312,-0.0102212894707918,0,0,0,0
0.155,63,505.703460693359,5.73640247161177,505.703460693359,5.73640247161177,1.91424608230591,203.429931640625,-0.0105147305876017,0,0,0,0
0.1575,64,542.797607421875,6.11889766145941,542.797607421875,6.11889766145941,0.397932648658752,217.357788085938,-0.0107290614396334,0,0,0,0
0.16,65,555.135314941406,6.23154974160539,555.135314941406,6.23154974160539,0.0827220678329468,222.103759765625,-0.0108856093138456,0,0,0,0
0.1625,66,617.127258300781,6.7179090673778,617.127258300781,6.7179090673778,1.93144226074219,248.009765625,-0.0111693451181054,0,0,0,0
0.165,67,646.502807617188,6.91501667057628,646.502807617188,6.91501667057628,0.401507407426834,258.842041015625,-0.0113765867426991,0,0,0,0
0.1675,68,715.399108886719,7.32875695596738,715.399108886719,7.32875695596738,1.99771130084991,287.358276367188,-0.0116973500698805,0,0,0,0
0.17,69,743.616577148438,7.48575637170542,743.616577148438,7.48575637170542,2.32952952384949,298.844360351562,-0.0119316354393959,0,0,0,0
0.1725,70,750.020751953125,7.52071606076035,750.020751953125,7.52071606076035,2.39850759506226,301.447387695312,-0.0121027585119009,0,0,0,0
0.175,71,807.54443359375,7.82674786135163,807.54443359375,7.82674786135163,4.32709312438965,325.614013671875,-0.0123971402645111,0,0,0,0
0.1775,72,833.610473632812,7.96200630102445,833.610473632812,7.96200630102445,2.81376028060913,335.132446289062,-0.0126121565699577,0,0,0,0
0.18,73,836.353515625,7.9761508729062,836.353515625,7.9761508729062,4.41341543197632,337.189453125,-0.0127692054957151,0,0,0,0
0.1825,74,772.072326660156,7.6395543312579,772.072326660156,7.6395543312579,2.83170509338379,310.527954101562,-0.012714521959424,0,0,0,0
0.185,75,735.017944335938,7.43845472039527,735.017944335938,7.43845472039527,4.41714572906494,296.657470703125,-0.0126745812594891,0,0,0,0
0.1875,76,593.29736328125,6.54430225592001,593.29736328125,6.54430225592001,4.74672651290894,240.1669921875,-0.0123066222295165,0,0,0,0
0.19,77,469.556304931641,5.28509271878026,469.556304931641,5.28509271878026,4.81523990631104,190.711669921875,-0.0118684712797403,0,0,0,0
0.1925,78,364.221221923828,3.41098257469635,364.221221923828,3.41098257469635,4.82948207855225,148.586181640625,-0.0113790510222316,0,0,0,0
0.195,79,276.047241210938,1.50643079314044,276.047241210938,1.50643079314044,4.83244276046753,113.318359375,-0.0108521841466427,0,0,0,0
0.1975,80,202.947250366211,0.309437024537877,202.947250366211,0.309437024537877,4.83305835723877,84.0787353515625,-0.0102979671210051,0,0,0,0
0.2,81,142.549407958984,0,142.549407958984,0,4.83318614959717,59.919677734375,-0.00972377136349678,0,0,0,0
0.2025,82,92.524658203125,0,92.524658203125,0,4.83321285247803,39.9097900390625,-0.009134984575212,0,0,0,0
0.205,83,114.617851257324,0,114.617851257324,0,4.83321857452393,48.7470703125,-0.00870493333786726,0,0,0,0
0.2075,84,45.4863777160645,0,45.4863777160645,0,4.83321952819824,21.094482421875,-0.00805203709751368,0,0,0,0
0.21,85,59.1533699035645,0,59.1533699035645,0,4.83321952819824,26.561279296875,-0.00757515989243984,0,0,0,0
0.2125,86,51.4327278137207,0,51.4327278137207,0,4.83321952819824,23.4730224609375,-0.00705745397135615,0,0,0,0
