t_s,n,u1_pwm,u1_V,u1unsat_pwm,u1unsat_V,y1_rads,u2_ref,y2_rad,x1i,x2i,x1o,x2o
0.435,175,-352.586547851562,-3.1592237359193,-352.586547851562,-3.1592237359193,-2.31590938568115,-138.316772460938,-0.000651572016067803,0,0,0,0
0.4375,176,-308.702514648438,-2.19100048627716,-308.702514648438,-2.19100048627716,-0.481430262327194,-119.643325805664,-0.000984088866971433,0,0,0,0
0.44,177,-306.442565917969,-2.1418410076042,-306.442565917969,-2.1418410076042,-0.100079514086246,-118.492736816406,-0.00122696009930223,0,0,0,0
0.4425,178,-262.127075195312,-1.23765266207301,-262.127075195312,-1.23765266207301,-0.0208044871687889,-100.702529907227,-0.00157374679110944,0,0,0,0
0.445,179,-260.817749023438,-1.2132554230153,-260.817749023438,-1.2132554230153,-0.00432482780888677,-100.153854370117,-0.00182704080361873,0,0,0,0
0.4475,180,-214.315200805664,-0.459164686392776,-214.315200805664,-0.459164686392776,-1.9151451587677,-82.6857604980469,-0.00218144059181213,0,0,0,0
0.45,181,-215.43913269043,-0.47470390408858,-215.43913269043,-0.47470390408858,-0.398119568824768,-82.2129211425781,-0.00244029494933784,0,0,0,0
0.4525,182,-231.277465820312,-0.707975413081656,-231.277465820312,-0.707975413081656,-0.0827609226107597,-88.3462829589844,-0.00262936297804117,0,0,0,0
0.455,183,-191.273391723633,-0.169426448176953,-191.273391723633,-0.169426448176953,-0.0172043051570654,-72.2932739257812,-0.00293685169890523,0,0,0,0
0.4575,184,-187.592788696289,-0.128066319450988,-187.592788696289,-0.128066319450988,-0.00357642350718379,-70.8021240234375,-0.0031614420004189,0,0,0,0
0.46,185,-197.966094970703,-0.248026786536094,-197.966094970703,-0.248026786536094,-0.000743465381674469,-74.9388122558594,-0.00332548376172781,0,0,0,0
0.4625,186,-211.537658691406,-0.421334909654406,-211.537658691406,-0.421334909654406,-0.000154551264131442,-80.3554382324219,-0.00344530027359724,0,0,0,0
